机型,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),包月(元),包年(元),3年(元),5年(元),
标准型S5,1,2,0.16,0.08,0.05,39.15,372.6,664.2,729,
标准型S5,1,4,0.48,0.24,0.16,120.06,1142.64,2036.88,2235.6,
标准型S5,2,4,0.59,0.3,0.2,147.9,1407.6,2509.2,2754,
标准型S5,2,8,0.96,0.48,0.33,240.12,2285.28,4073.76,4471.2,
标准型S5,4,8,1.28,0.64,0.43,320.16,3047.04,5431.68,5961.6,
标准型S5,4,16,1.92,0.96,0.65,480.24,4570.56,8147.52,8942.4,
标准型S5,8,16,2.56,1.28,0.87,640.32,6094.08,10863.36,11923.2,
标准型S5,8,32,3.83,1.92,1.3,960.48,9141.12,16295.04,17884.8,
标准型S5,16,32,5.11,2.56,1.74,1280.64,12188.16,21726.72,23846.4,
标准型S5,16,64,7.67,3.83,2.61,1920.96,18282.24,32590.08,35769.6,
标准型S5,24,48,7.67,3.83,2.61,1920.96,18282.24,32590.08,35769.6,
标准型S5,24,96,11.5,5.75,3.91,2881.44,27423.36,48885.12,53654.4,
标准型S5,32,64,10.22,5.11,3.47,2561.28,24376.32,43453.44,47692.8,
标准型S5,32,128,15.33,7.67,5.21,3841.92,36564.48,65180.16,71539.2,
标准型S5,48,96,15.33,7.67,5.21,3841.92,36564.48,65180.16,71539.2,
标准型S5,48,192,23,11.5,7.82,5762.88,54846.72,97770.24,107308.8,
标准型S5,64,256,30.66,15.33,10.42,7683.84,73128.96,130360.32,143078.4,
标准型S4,1,1,0.21,0.1,0.07,60,597.6,1080,1800,
标准型S4,1,2,0.31,0.15,0.1,88,876.48,1584,2640,
标准型S4,1,4,0.48,0.24,0.16,138,1374.48,2484,4140,
标准型S4,2,4,0.64,0.32,0.22,184,1832.64,3312,5520,
标准型S4,2,8,0.96,0.48,0.33,276,2748.96,4968,8280,
标准型S4,4,8,1.28,0.64,0.44,368,3665.28,6624,11040,
标准型S4,4,16,1.92,0.96,0.65,552,5497.92,9936,16560,
标准型S4,8,16,2.56,1.28,0.87,736,7330.56,13248,22080,
标准型S4,8,32,3.84,1.92,1.31,1104,10995.84,19872,33120,
标准型S4,16,32,5.12,2.56,1.74,1472,14661.12,26496,44160,
标准型S4,16,64,7.68,3.84,2.61,2208,21991.68,39744,66240,
标准型S4,24,48,7.68,3.84,2.61,2208,21991.68,39744,66240,
标准型S4,24,96,11.52,5.76,3.92,3312,32987.52,59616,99360,
标准型S4,32,64,10.24,5.12,3.48,2944,29322.24,52992,88320,
标准型S4,32,128,15.36,7.68,5.22,4416,43983.36,79488,132480,
标准型S4,48,96,15.36,7.68,5.22,4416,43983.36,79488,132480,
标准型S4,48,192,23.04,11.52,7.84,6624,65975.04,119232,198720,
标准型S4,64,128,20.48,10.24,6.96,5888,58644.48,105984,176640,
标准型S4,64,256,30.72,15.36,10.45,8832,87966.72,158976,264960,
标准型S4,72,288,34.56,17.28,11.75,9936,98962.56,178848,298080,
标准网络优化型SN3ne,1,2,0.32,0.16,0.11,88,876.48,1584,2640,
标准网络优化型SN3ne,2,4,0.64,0.32,0.22,184,1832.64,3312,5520,
标准网络优化型SN3ne,4,8,1.28,0.64,0.44,368,3665.28,6624,11040,
标准网络优化型SN3ne,4,16,1.92,0.96,0.65,552,5497.92,9936,16560,
标准网络优化型SN3ne,8,16,2.56,1.28,0.87,736,7330.56,13248,22080,
标准网络优化型SN3ne,8,32,3.84,1.92,1.31,1104,10995.84,19872,33120,
标准网络优化型SN3ne,16,32,5.12,2.56,1.74,1472,14661.12,26496,44160,
标准网络优化型SN3ne,16,64,7.68,3.84,2.61,2208,21991.68,39744,66240,
标准网络优化型SN3ne,24,48,7.68,3.84,2.61,2208,21991.68,39744,66240,
标准网络优化型SN3ne,24,96,11.52,5.76,3.92,3312,32987.52,59616,99360,
标准网络优化型SN3ne,32,64,10.24,5.12,3.48,2944,29322.24,52992,88320,
标准网络优化型SN3ne,32,128,15.36,7.68,5.22,4416,43983.36,79488,132480,
标准网络优化型SN3ne,48,96,15.36,7.68,5.22,4416,43983.36,79488,132480,
标准网络优化型SN3ne,48,192,23.04,11.52,7.84,6624,65975.04,119232,198720,
标准网络优化型SN3ne,64,128,20.48,10.24,6.96,5888,58644.48,105984,176640,
标准网络优化型SN3ne,64,256,30.72,15.36,10.45,8832,87966.72,158976,264960,
标准网络优化型SN3ne,72,288,34.56,17.28,11.75,9936,98962.56,178848,298080,
标准型S3,1,1,0.2,0.1,0.07,57,567.72,1026,1710,
标准型S3,1,2,0.29,0.15,0.07,83.6,832.66,1504.8,2508,
标准型S3,1,4,0.47,0.24,0.16,136.5,1359.54,2457,4095,
标准型S3,2,4,0.62,0.31,0.07,180,1792.8,3240,5400,
